date,pct_day_records,is_valid_day_analysis,et_base_out_mm_d,temp_out_mean,rh_out_mean,rad_out_mean,vpd_out_mean,flag_et_jump_high,flag_et_zero,flag_vpd_high_z,flag_temp_high_z
2025-12-25,97.91666666666666,True,2.28,15.38936170212766,73.51773049645391,135.85712765957447,0.505531914893617,False,False,False,False
2025-12-26,98.26388888888889,True,2.56,14.920141342756182,72.7844522968198,166.97643109540635,0.5376678445229682,False,False,False,False
2025-12-27,97.56944444444444,True,2.16,15.18576512455516,66.93594306049822,134.35839857651246,0.636797153024911,False,False,False,False
2025-12-28,98.26388888888889,True,2.83,14.440282685512368,65.3286219081272,193.4806007067138,0.6979151943462897,False,False,False,False
2025-12-29,97.91666666666666,True,1.83,14.9822695035461,68.822695035461,105.2386524822695,0.6075886524822696,False,False,False,False
2025-12-30,97.56944444444444,True,1.79,15.036654804270464,70.55160142348754,98.6018149466192,0.5317437722419929,False,False,False,False
2025-12-31,98.26388888888889,True,1.55,15.563604240282686,67.57597173144876,67.85872791519435,0.6045583038869258,False,False,False,False
2026-01-01,97.91666666666666,True,2.44,15.454609929078014,69.98226950354609,154.82936170212764,0.5952127659574468,False,False,False,False
2026-01-13,90.625,True,1.44,15.119923371647513,76.27586206896552,70.42256704980844,0.4382758620689655,False,False,False,False
2026-02-01,98.26388888888889,True,1.48,14.434628975265015,73.73498233215548,70.55074204946996,0.4785865724381625,False,False,False,False
2026-03-01,97.56944444444444,True,1.88,14.54982206405694,76.43416370106762,101.66106761565835,0.4343416370106761,False,False,False,False
2026-04-01,97.56944444444444,True,1.46,15.029181494661922,74.69039145907473,72.45505338078291,0.4617081850533808,False,False,False,False
2026-05-01,97.56944444444444,True,1.78,14.42846975088968,79.2170818505338,98.7720640569395,0.3822419928825623,False,False,False,False
2026-06-01,97.91666666666666,True,1.4,13.64645390070922,85.62411347517731,65.75936170212766,0.2514539007092198,False,False,False,False
2026-07-01,97.2222222222222,True,1.67,14.09142857142857,83.01785714285714,96.58614285714286,0.3183214285714285,False,False,False,False
2026-08-01,96.5277777777778,True,1.8,14.900359712230216,73.04676258992805,88.15902877697842,0.4941007194244605,False,False,False,False
2026-09-01,98.26388888888889,True,1.81,15.041696113074206,75.46643109540636,97.57904593639576,0.4672438162544169,False,False,False,False
2026-10-01,97.91666666666666,True,1.98,14.711347517730498,76.51418439716312,115.5695390070922,0.4323404255319149,False,False,False,False
2026-11-01,97.56944444444444,True,1.9,15.181138790035586,74.5693950177936,104.06772241992884,0.4799288256227758,False,False,False,False
2026-12-01,97.56944444444444,True,1.37,14.50747330960854,75.99644128113879,61.72259786476868,0.423202846975089,False,False,False,False
